,user_id,AR_id,link
0,1,naples34102,https://www.allrecipes.com/cook/naples34102
1,2,1207425,https://www.allrecipes.com/cook/1207425
2,3,183259,https://www.allrecipes.com/cook/183259
3,4,162514,https://www.allrecipes.com/cook/162514
4,5,1159515,https://www.allrecipes.com/cook/1159515
5,6,519874,https://www.allrecipes.com/cook/519874
6,7,533972,https://www.allrecipes.com/cook/533972
7,8,4771689,https://www.allrecipes.com/cook/4771689
8,9,1660385,https://www.allrecipes.com/cook/1660385
9,10,2220673,https://www.allrecipes.com/cook/2220673
10,11,584321,https://www.allrecipes.com/cook/584321
11,12,8310936,https://www.allrecipes.com/cook/8310936
12,13,6017275,https://www.allrecipes.com/cook/6017275
13,14,3998082,https://www.allrecipes.com/cook/3998082
14,15,2630862,https://www.allrecipes.com/cook/2630862
15,16,4501471,https://www.allrecipes.com/cook/4501471
16,17,1872290,https://www.allrecipes.com/cook/1872290
17,18,837152,https://www.allrecipes.com/cook/837152
18,19,1136195,https://www.allrecipes.com/cook/1136195
19,20,930513,https://www.allrecipes.com/cook/930513
20,21,1262756,https://www.allrecipes.com/cook/1262756
21,22,877478,https://www.allrecipes.com/cook/877478
22,23,848337,https://www.allrecipes.com/cook/848337
23,24,674114,https://www.allrecipes.com/cook/674114
24,25,137552,https://www.allrecipes.com/cook/137552
25,26,273055,https://www.allrecipes.com/cook/273055
26,27,217566,https://www.allrecipes.com/cook/217566
27,28,1032812,https://www.allrecipes.com/cook/1032812
28,29,6283171,https://www.allrecipes.com/cook/6283171
29,30,455735,https://www.allrecipes.com/cook/455735
30,31,1571819,https://www.allrecipes.com/cook/1571819
31,32,295207,https://www.allrecipes.com/cook/295207
32,33,593884,https://www.allrecipes.com/cook/593884
33,34,214950,https://www.allrecipes.com/cook/214950
34,35,10309,https://www.allrecipes.com/cook/10309
35,36,15336572,https://www.allrecipes.com/cook/15336572
36,37,383129,https://www.allrecipes.com/cook/383129
37,38,228463,https://www.allrecipes.com/cook/228463
38,39,37563,https://www.allrecipes.com/cook/37563
39,40,1627230,https://www.allrecipes.com/cook/1627230
40,41,3833672,https://www.allrecipes.com/cook/3833672
41,42,505222,https://www.allrecipes.com/cook/505222
42,43,tracyann1,https://www.allrecipes.com/cook/tracyann1
43,44,1405774,https://www.allrecipes.com/cook/1405774
44,45,2074400,https://www.allrecipes.com/cook/2074400
45,46,14384508,https://www.allrecipes.com/cook/14384508
46,47,3364253,https://www.allrecipes.com/cook/3364253
47,48,221106,https://www.allrecipes.com/cook/221106
48,49,11345335,https://www.allrecipes.com/cook/11345335
49,50,17252740,https://www.allrecipes.com/cook/17252740
50,51,4944802,https://www.allrecipes.com/cook/4944802
51,52,6161276,https://www.allrecipes.com/cook/6161276
52,53,2171983,https://www.allrecipes.com/cook/2171983
53,54,234926,https://www.allrecipes.com/cook/234926
54,55,1385142,https://www.allrecipes.com/cook/1385142
55,56,228134,https://www.allrecipes.com/cook/228134
56,57,558873,https://www.allrecipes.com/cook/558873
57,58,732717,https://www.allrecipes.com/cook/732717
58,59,687400,https://www.allrecipes.com/cook/687400
59,60,700894,https://www.allrecipes.com/cook/700894
60,61,8388678,https://www.allrecipes.com/cook/8388678
61,62,227901,https://www.allrecipes.com/cook/227901
62,63,908251,https://www.allrecipes.com/cook/908251
63,64,8448683,https://www.allrecipes.com/cook/8448683
64,65,2193996,https://www.allrecipes.com/cook/2193996
65,66,6020394,https://www.allrecipes.com/cook/6020394
66,67,228559,https://www.allrecipes.com/cook/228559
67,68,6838251,https://www.allrecipes.com/cook/6838251
68,69,4612369,https://www.allrecipes.com/cook/4612369
69,70,261865,https://www.allrecipes.com/cook/261865
70,71,5266764,https://www.allrecipes.com/cook/5266764
71,72,4467488,https://www.allrecipes.com/cook/4467488
72,73,2103968,https://www.allrecipes.com/cook/2103968
73,74,1902642,https://www.allrecipes.com/cook/1902642
74,75,5678776,https://www.allrecipes.com/cook/5678776
75,76,2550485,https://www.allrecipes.com/cook/2550485
76,77,1153417,https://www.allrecipes.com/cook/1153417
77,78,7636299,https://www.allrecipes.com/cook/7636299
78,79,890588,https://www.allrecipes.com/cook/890588
79,80,2777147,https://www.allrecipes.com/cook/2777147
80,81,5814066,https://www.allrecipes.com/cook/5814066
81,82,390502,https://www.allrecipes.com/cook/390502
82,83,6037815,https://www.allrecipes.com/cook/6037815
83,84,6015878,https://www.allrecipes.com/cook/6015878
84,85,15089565,https://www.allrecipes.com/cook/15089565
85,86,7019763,https://www.allrecipes.com/cook/7019763
86,87,8696332,https://www.allrecipes.com/cook/8696332
87,88,18197054,https://www.allrecipes.com/cook/18197054
88,89,422547,https://www.allrecipes.com/cook/422547
89,90,2993659,https://www.allrecipes.com/cook/2993659
90,91,14883262,https://www.allrecipes.com/cook/14883262
91,92,8706945,https://www.allrecipes.com/cook/8706945
92,93,11335791,https://www.allrecipes.com/cook/11335791
93,94,2698493,https://www.allrecipes.com/cook/2698493
94,95,3766090,https://www.allrecipes.com/cook/3766090
95,96,3386659,https://www.allrecipes.com/cook/3386659
96,97,1216834,https://www.allrecipes.com/cook/1216834
97,98,5460682,https://www.allrecipes.com/cook/5460682
98,99,1461928,https://www.allrecipes.com/cook/1461928
99,100,2760820,https://www.allrecipes.com/cook/2760820
100,101,1153276,https://www.allrecipes.com/cook/1153276
101,102,2015475,https://www.allrecipes.com/cook/2015475
102,103,1309820,https://www.allrecipes.com/cook/1309820
103,104,6765734,https://www.allrecipes.com/cook/6765734
104,105,6298091,https://www.allrecipes.com/cook/6298091
105,106,2487572,https://www.allrecipes.com/cook/2487572
106,107,14164999,https://www.allrecipes.com/cook/14164999
107,108,4383182,https://www.allrecipes.com/cook/4383182
108,109,13527025,https://www.allrecipes.com/cook/13527025
109,110,13106737,https://www.allrecipes.com/cook/13106737
110,111,6936648,https://www.allrecipes.com/cook/6936648
111,112,8737262,https://www.allrecipes.com/cook/8737262
112,113,7234606,https://www.allrecipes.com/cook/7234606
113,114,6147758,https://www.allrecipes.com/cook/6147758
114,115,5103189,https://www.allrecipes.com/cook/5103189
115,116,5208773,https://www.allrecipes.com/cook/5208773
116,117,4576403,https://www.allrecipes.com/cook/4576403
117,118,5100324,https://www.allrecipes.com/cook/5100324
118,119,5843120,https://www.allrecipes.com/cook/5843120
119,120,4302538,https://www.allrecipes.com/cook/4302538
120,121,1969654,https://www.allrecipes.com/cook/1969654
121,122,1771288,https://www.allrecipes.com/cook/1771288
122,123,363170,https://www.allrecipes.com/cook/363170
123,124,910715,https://www.allrecipes.com/cook/910715
124,125,1325261,https://www.allrecipes.com/cook/1325261
125,126,873202,https://www.allrecipes.com/cook/873202
126,127,1055998,https://www.allrecipes.com/cook/1055998
127,128,1261663,https://www.allrecipes.com/cook/1261663
128,129,1347112,https://www.allrecipes.com/cook/1347112
129,130,1299882,https://www.allrecipes.com/cook/1299882
130,131,850659,https://www.allrecipes.com/cook/850659
131,132,961512,https://www.allrecipes.com/cook/961512
132,133,226877,https://www.allrecipes.com/cook/226877
133,134,25892922,https://www.allrecipes.com/cook/25892922
134,135,24027541,https://www.allrecipes.com/cook/24027541
135,136,12248200,https://www.allrecipes.com/cook/12248200
136,137,24713245,https://www.allrecipes.com/cook/24713245
137,138,3644413,https://www.allrecipes.com/cook/3644413
138,139,24675846,https://www.allrecipes.com/cook/24675846
139,140,162057,https://www.allrecipes.com/cook/162057
140,141,18069949,https://www.allrecipes.com/cook/18069949
141,142,2763036,https://www.allrecipes.com/cook/2763036
142,143,17576560,https://www.allrecipes.com/cook/17576560
143,144,5221148,https://www.allrecipes.com/cook/5221148
144,145,3902471,https://www.allrecipes.com/cook/3902471
145,146,22870121,https://www.allrecipes.com/cook/22870121
146,147,22594941,https://www.allrecipes.com/cook/22594941
147,148,13067173,https://www.allrecipes.com/cook/13067173
148,149,12186582,https://www.allrecipes.com/cook/12186582
149,150,21044662,https://www.allrecipes.com/cook/21044662
150,151,7894451,https://www.allrecipes.com/cook/7894451
151,152,827759,https://www.allrecipes.com/cook/827759
152,153,17895361,https://www.allrecipes.com/cook/17895361
153,154,21025774,https://www.allrecipes.com/cook/21025774
154,155,4756084,https://www.allrecipes.com/cook/4756084
155,156,9131256,https://www.allrecipes.com/cook/9131256
156,157,15602826,https://www.allrecipes.com/cook/15602826
157,158,20850180,https://www.allrecipes.com/cook/20850180
158,159,15726177,https://www.allrecipes.com/cook/15726177
159,160,9706131,https://www.allrecipes.com/cook/9706131
160,161,16828477,https://www.allrecipes.com/cook/16828477
161,162,1282255,https://www.allrecipes.com/cook/1282255
162,163,18168585,https://www.allrecipes.com/cook/18168585
163,164,1718130,https://www.allrecipes.com/cook/1718130
164,165,16896627,https://www.allrecipes.com/cook/16896627
165,166,5168188,https://www.allrecipes.com/cook/5168188
